HRD_GENE_POSITIVE,ENSG00000161533,ENSG00000136518,ENSG00000154736,ENSG00000141385,ENSG00000196704,ENSG00000154065,ENSG00000175054,ENSG00000087586,ENSG00000141577,ENSG00000175334,ENSG00000099968,ENSG00000204922,ENSG00000255874,ENSG00000290767,ENSG00000181038,ENSG00000105176,ENSG00000101189,ENSG00000143951,ENSG00000178776,ENSG00000124541,ENSG00000189376,ENSG00000137135,ENSG00000131375,ENSG00000141527,ENSG00000158402,ENSG00000124177,ENSG00000104472,ENSG00000169684,ENSG00000049656,ENSG00000215018,ENSG00000240230,ENSG00000183258,ENSG00000124795,ENSG00000128185,ENSG00000183914,ENSG00000179532,ENSG00000162999,ENSG00000291281,ENSG00000112242,ENSG00000172071,ENSG00000066322,ENSG00000087502,ENSG00000117419,ENSG00000188107,ENSG00000126218,ENSG00000198734,ENSG00000262919,ENSG00000140525,ENSG00000155034,ENSG00000112146,ENSG00000137166,ENSG00000117228,ENSG00000135968,ENSG00000240288,ENSG00000215045,ENSG00000115207,ENSG00000119041,ENSG00000138411,ENSG00000187837,ENSG00000158373,ENSG00000197903,ENSG00000233822,ENSG00000143452,ENSG00000197757,ENSG00000137142,ENSG00000170549,ENSG00000134504,ENSG00000243335,ENSG00000175224,ENSG00000101350,ENSG00000258647,ENSG00000270170,ENSG00000213468,ENSG00000248569,ENSG00000235919,ENSG00000070018,ENSG00000010626,ENSG00000146006,ENSG00000177383,ENSG00000104774,ENSG00000050748,ENSG00000139793,ENSG00000065833,ENSG00000159479,ENSG00000117899,ENSG00000188095,ENSG00000061987,ENSG00000259494,ENSG00000136522,ENSG00000181991,ENSG00000096080,ENSG00000136521,ENSG00000182768,ENSG00000187566,ENSG00000163623,ENSG00000144061,ENSG00000182446,ENSG00000111581,ENSG00000124657,ENSG00000091651,ENSG00000130703,ENSG00000088356,ENSG00000087157,ENSG00000107537,ENSG00000163746,ENSG00000101346,ENSG00000143442,ENSG00000128059,ENSG00000165501,ENSG00000173457,ENSG00000198901,ENSG00000101292,ENSG00000100902,ENSG00000197170,ENSG00000144407,ENSG00000162927,ENSG00000132155,ENSG00000173653,ENSG00000135945,ENSG00000164292,ENSG00000107018,ENSG00000241370,ENSG00000131871,ENSG00000168137,ENSG00000125520,ENSG00000136052,ENSG00000167703,ENSG00000022567,ENSG00000003989,ENSG00000091482,ENSG00000135632,ENSG00000099940,ENSG00000144028,ENSG00000167088,ENSG00000129515,ENSG00000174015,ENSG00000277893,ENSG00000100883,ENSG00000131018,ENSG00000132718,ENSG00000130699,ENSG00000277925,ENSG00000072274,ENSG00000184277,ENSG00000100926,ENSG00000101337,ENSG00000075568,ENSG00000166575,ENSG00000134851,ENSG00000185873,ENSG00000117586,ENSG00000214736,ENSG00000007255,ENSG00000163462,ENSG00000183665,ENSG00000154743,ENSG00000048140,ENSG00000102178,ENSG00000070010,ENSG00000140553,ENSG00000164663,ENSG00000147679,ENSG00000116035,ENSG00000069329,ENSG00000133316,ENSG00000156795,ENSG00000168634,ENSG00000133858,ENSG00000198169,ENSG00000198039,ENSG00000168813,ENSG00000198795,ENSG00000183309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HRD_GENE_NEGATIVE,ENSG00000113812,ENSG00000135503,ENSG00000139985,ENSG00000144504,ENSG00000164331,ENSG00000183020,ENSG00000042753,ENSG00000122644,ENSG00000196433,ENSG00000018625,ENSG00000159199,ENSG00000166377,ENSG00000140320,ENSG00000132692,ENSG00000147439,ENSG00000012048,ENSG00000145741,ENSG00000120458,ENSG00000180861,ENSG00000134153,ENSG00000170222,ENSG00000130813,ENSG00000149635,ENSG00000196476,ENSG00000183624,ENSG00000146576,ENSG00000165131,ENSG00000135045,ENSG00000142330,ENSG00000180881,ENSG00000244607,ENSG00000130783,ENSG00000134480,ENSG00000129757,ENSG00000064309,ENSG00000079432,ENSG00000109572,ENSG00000136152,ENSG00000113163,ENSG00000014919,ENSG00000112695,ENSG00000145920,ENSG00000088882,ENSG00000008405,ENSG00000144579,ENSG00000163464,ENSG00000110063,ENSG00000129187,ENSG00000099977,ENSG00000273311,ENSG00000198010,ENSG00000115137,ENSG00000119661,ENSG00000123179,ENSG00000131080,ENSG00000173674,ENSG00000175390,ENSG00000089248,ENSG00000143971,ENSG00000197798,ENSG00000109794,ENSG00000051009,ENSG00000158863,ENSG00000185112,ENSG00000078579,ENSG00000260176,ENSG00000125848,ENSG00000102531,ENSG00000168843,ENSG00000141013,ENSG00000239282,ENSG00000266524,ENSG00000165678,ENSG00000181625,ENSG00000082701,ENSG00000273542,ENSG00000113161,ENSG00000168395,ENSG00000102786,ENSG00000104299,ENSG00000176095,ENSG00000168970,ENSG00000053918,ENSG00000198553,ENSG00000164323,ENSG00000084444,ENSG00000158941,ENSG00000185915,ENSG00000166816,ENSG00000215458,LOC349196,ENSG00000260335,ENSG00000011009,ENSG00000105695,ENSG00000176055,ENSG00000140943,ENSG00000100427,ENSG00000072415,ENSG00000198015,ENSG00000174579,ENSG00000173531,ENSG00000143033,ENSG00000272573,ENSG00000119950,ENSG00000071909,ENSG00000147813,ENSG00000151779,ENSG00000198496,ENSG00000225470,ENSG00000185633,ENSG00000178057,ENSG00000137601,ENSG00000160602,ENSG00000257108,ENSG00000010322,ENSG00000165066,ENSG00000053438,ENSG00000087263,ENSG00000158006,ENSG00000185345,ENSG00000078674,ENSG00000100731,ENSG00000070047,ENSG00000069943,ENSG00000233670,ENSG00000115556,ENSG00000054690,ENSG00000006757,ENSG00000189266,ENSG00000166794,ENSG00000150687,ENSG00000180822,ENSG00000055917,ENSG00000144840,ENSG00000117625,ENSG00000080298,ENSG00000177963,ENSG00000196204,ENSG00000171848,ENSG00000160188,ENSG00000176225,ENSG00000130066,ENSG00000085365,ENSG00000132330,ENSG00000204370,ENSG00000082684,ENSG00000129158,ENSG00000136169,ENSG00000174326,ENSG00000141526,ENSG00000211584,ENSG00000163071,ENSG00000129128,ENSG00000203772,ENSG00000163209,ENSG00000136011,ENSG00000117614,ENSG00000197780,ENSG00000103168,ENSG00000150779,ENSG00000198270,ENSG00000157111,ENSG00000175606,ENSG00000141510,ENSG00000253771,ENSG00000196655,ENSG00000110171,ENSG00000168930,ENSG00000132256,ENSG00000158022,ENSG00000179981,ENSG00000012963,ENSG00000158062,ENSG00000109775,ENSG00000136100,ENSG00000166887,ENSG00000112290,ENSG00000164091,ENSG00000061492,ENSG00000033030,ENSG00000186918,ENSG00000215421,ENSG00000164048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HRD_GENE_TOTAL,ENSG00000161533,ENSG00000136518,ENSG00000113812,ENSG00000135503,ENSG00000139985,ENSG00000154736,ENSG00000141385,ENSG00000196704,ENSG00000144504,ENSG00000164331,ENSG00000154065,ENSG00000183020,ENSG00000042753,ENSG00000122644,ENSG00000196433,ENSG00000018625,ENSG00000159199,ENSG00000166377,ENSG00000175054,ENSG00000087586,ENSG00000141577,ENSG00000140320,ENSG00000175334,ENSG00000132692,ENSG00000099968,ENSG00000147439,ENSG00000012048,ENSG00000145741,ENSG00000120458,ENSG00000204922,ENSG00000180861,ENSG00000255874,ENSG00000134153,ENSG00000290767,ENSG00000170222,ENSG00000181038,ENSG00000105176,ENSG00000130813,ENSG00000149635,ENSG00000101189,ENSG00000196476,ENSG00000143951,ENSG00000183624,ENSG00000178776,ENSG00000124541,ENSG00000146576,ENSG00000165131,ENSG00000189376,ENSG00000137135,ENSG00000135045,ENSG00000142330,ENSG00000131375,ENSG00000180881,ENSG00000141527,ENSG00000244607,ENSG00000130783,ENSG00000134480,ENSG00000158402,ENSG00000129757,ENSG00000064309,ENSG00000124177,ENSG00000104472,ENSG00000169684,ENSG00000079432,ENSG00000109572,ENSG00000049656,ENSG00000136152,ENSG00000215018,ENSG00000113163,ENSG00000014919,ENSG00000240230,ENSG00000112695,ENSG00000145920,ENSG00000088882,ENSG00000008405,ENSG00000144579,ENSG00000163464,ENSG00000110063,ENSG00000129187,ENSG00000099977,ENSG00000183258,ENSG00000124795,ENSG00000273311,ENSG00000128185,ENSG00000198010,ENSG00000183914,ENSG00000115137,ENSG00000119661,ENSG00000179532,ENSG00000162999,ENSG00000291281,ENSG00000112242,ENSG00000123179,ENSG00000131080,ENSG00000173674,ENSG00000172071,ENSG00000175390,ENSG00000066322,ENSG00000087502,ENSG00000117419,ENSG00000089248,ENSG00000143971,ENSG00000188107,ENSG00000126218,ENSG00000198734,ENSG00000197798,ENSG00000109794,ENSG00000051009,ENSG00000158863,ENSG00000185112,ENSG00000262919,ENSG00000140525,ENSG00000155034,ENSG00000112146,ENSG00000078579,ENSG00000260176,ENSG00000125848,ENSG00000102531,ENSG00000137166,ENSG00000168843,ENSG00000141013,ENSG00000239282,ENSG00000117228,ENSG00000135968,ENSG00000266524,ENSG00000165678,ENSG00000240288,ENSG00000181625,ENSG00000215045,ENSG00000082701,ENSG00000115207,ENSG00000119041,ENSG00000138411,ENSG00000187837,ENSG00000158373,ENSG00000197903,ENSG00000233822,ENSG00000273542,ENSG00000113161,ENSG00000143452,ENSG00000197757,ENSG00000137142,ENSG00000168395,ENSG00000102786,ENSG00000104299,ENSG00000176095,ENSG00000170549,ENSG00000168970,ENSG00000053918,ENSG00000198553,ENSG00000134504,ENSG00000243335,ENSG00000175224,ENSG00000164323,ENSG00000084444,ENSG00000158941,ENSG00000101350,ENSG00000185915,ENSG00000166816,ENSG00000258647,ENSG00000270170,ENSG00000215458,ENSG00000213468,LOC349196,ENSG00000248569,ENSG00000260335,ENSG00000235919,ENSG00000070018,ENSG00000010626,ENSG00000146006,ENSG00000011009,ENSG00000177383,ENSG00000105695,ENSG00000104774,ENSG00000050748,ENSG00000176055,ENSG00000139793,ENSG00000140943,ENSG00000065833,ENSG00000159479,ENSG00000117899,ENSG00000188095,ENSG00000100427,ENSG00000061987,ENSG00000072415,ENSG00000198015,ENSG00000259494,ENSG00000136522,ENSG00000181991,ENSG00000096080,ENSG00000174579,ENSG00000173531,ENSG00000143033,ENSG00000272573,ENSG00000119950,ENSG00000071909,ENSG00000147813,ENSG00000151779,ENSG00000198496,ENSG00000225470,ENSG00000185633,ENSG00000178057,ENSG00000136521,ENSG00000137601,ENSG00000160602,ENSG00000182768,ENSG00000187566,ENSG00000257108,ENSG00000010322,ENSG00000163623,ENSG00000165066,ENSG00000053438,ENSG00000144061,ENSG00000182446,ENSG00000111581,ENSG00000087263,ENSG00000124657,ENSG00000091651,ENSG00000130703,ENSG00000158006,ENSG00000185345,ENSG00000078674,ENSG00000100731,ENSG00000088356,ENSG00000087157,ENSG00000070047,ENSG00000107537,ENSG00000069943,ENSG00000233670,ENSG00000115556,ENSG00000054690,ENSG00000163746,ENSG00000006757,ENSG00000189266,ENSG00000101346,ENSG00000143442,ENSG00000128059,ENSG00000166794,ENSG00000165501,ENSG00000173457,ENSG00000198901,ENSG00000101292,ENSG00000150687,ENSG00000100902,ENSG00000197170,ENSG00000180822,ENSG00000144407,ENSG00000055917,ENSG00000162927,ENSG00000144840,ENSG00000132155,ENSG00000173653,ENSG00000117625,ENSG00000135945,ENSG00000080298,ENSG00000164292,ENSG00000177963,ENSG00000107018,ENSG00000196204,ENSG00000241370,ENSG00000171848,ENSG00000160188,ENSG00000176225,ENSG00000130066,ENSG00000085365,ENSG00000132330,ENSG00000204370,ENSG00000131871,ENSG00000082684,ENSG00000129158,ENSG00000168137,ENSG00000136169,ENSG00000174326,ENSG00000141526,ENSG00000125520,ENSG00000136052,ENSG00000167703,ENSG00000022567,ENSG00000211584,ENSG00000003989,ENSG00000091482,ENSG00000135632,ENSG00000099940,ENSG00000144028,ENSG00000167088,ENSG00000129515,ENSG00000163071,ENSG00000129128,ENSG00000174015,ENSG00000203772,ENSG00000163209,ENSG00000277893,ENSG00000100883,ENSG00000136011,ENSG00000117614,ENSG00000131018,ENSG00000132718,ENSG00000197780,ENSG00000103168,ENSG00000130699,ENSG00000277925,ENSG00000072274,ENSG00000150779,ENSG00000184277,ENSG00000100926,ENSG00000101337,ENSG00000198270,ENSG00000075568,ENSG00000166575,ENSG00000134851,ENSG00000157111,ENSG00000175606,ENSG00000185873,ENSG00000117586,ENSG00000214736,ENSG00000141510,ENSG00000253771,ENSG00000196655,ENSG00000007255,ENSG00000110171,ENSG00000163462,ENSG00000168930,ENSG00000132256,ENSG00000158022,ENSG00000183665,ENSG00000154743,ENSG00000179981,ENSG00000048140,ENSG00000102178,ENSG00000012963,ENSG00000158062,ENSG00000070010,ENSG00000109775,ENSG00000140553,ENSG00000164663,ENSG00000147679,ENSG00000116035,ENSG00000069329,ENSG00000136100,ENSG00000166887,ENSG00000112290,ENSG00000133316,ENSG00000164091,ENSG00000156795,ENSG00000168634,ENSG00000061492,ENSG00000033030,ENSG00000133858,ENSG00000198169,ENSG00000198039,ENSG00000186918,ENSG00000215421,ENSG00000168813,ENSG00000198795,ENSG00000164048,ENSG00000183309
